"","X1","CountyFips","CountyName","ReportYear","Value","pollutant","county","Id2","population","log_ppl","case","rate","rate_new","log_rate","log_pop","z_pop","z_pollutant"
"35",35,40069,"johnston",2010,9.060611271,9.060611271,"JOHNSTON",40069,10987,9.30446803470088,76,0.00691726585965232,0.0832662866113211,8.16811877009616,9.30446803470088,-0.35209229256673,-0.315057300214782
"36",36,40071,"kay",2010,9.312778156,9.312778156,"KAY",40071,46428,10.7456580044885,544,0.011717067286982,0.108457911929941,50.6250989723262,10.7456580044885,-0.0238353873147186,-0.0915063639637703
"37",37,40073,"kingfisher",2010,8.983114225,8.983114225,"KINGFISHER",40073,15056,9.61953186182516,119,0.007903825717322,0.0890209943306647,12.37066436385,9.61953186182516,-0.314404943240514,-0.383759965872044
"38",38,40075,"kiowa",2010,8.149592186,8.149592186,"KIOWA",40075,9430,9.1516513756275,127,0.0134676564156946,0.116312311179883,13.8772768746659,9.1516513756275,-0.366513330389517,-1.12269375650162
"39",39,40077,"latimer",2010,9.878722233,9.878722233,"LATIMER",40077,11139,9.31820774284519,31,0.00278301463327049,0.0527787854692496,3.32682001255046,9.31820774284519,-0.350684458431172,0.410214265527549
"40",40,40079,"le flore",2010,11.05530079,11.05530079,"LE FLORE",40079,50475,10.829233443181,166,0.00328875681030213,0.0573791639407893,15.3288781584561,10.829233443181,0.0136481965445092,1.45327445160319
"41",41,40081,"lincoln",2010,9.240266405,9.240266405,"LINCOLN",40081,34321,10.4435126907065,274,0.00798345036566534,0.0894694721733577,26.2363831131098,10.4435126907065,-0.135971228625238,-0.155789466898759
"42",42,40083,"logan",2010,9.280715942,9.280715942,"LOGAN",40083,42067,10.64701886432,370,0.00879549290417667,0.0939223160673023,34.7515116404963,10.64701886432,-0.064227260111875,-0.119930151480439
"43",43,40085,"love",2010,8.887319603,8.887319603,"LOVE",40085,9431,9.15175741454389,47,0.00498356483935956,0.0706531354818265,5.13562563681026,9.15175741454389,-0.366504068322836,-0.468683794930375
"44",44,40093,"major",2010,8.514912975,8.514912975,"MAJOR",40093,7510,8.92399074475818,21,0.00279627163781625,0.052904460210685,2.35320728143237,8.92399074475818,-0.384296498417616,-0.798829643999663
"45",45,40095,"marshall",2010,9.089634701,9.089634701,"MARSHALL",40095,15839,9.67023053206242,105,0.00662920638929225,0.0815101662091095,10.8580658601534,9.67023053206242,-0.307152745029055,-0.289327454879558
"46",46,40097,"mayes",2010,10.7646039,10.7646039,"MAYES",40097,41288,10.6283271798286,318,0.00770199573726022,0.0878740629858069,29.9200424130271,10.6283271798286,-0.071442410056609,1.19556590305703
"47",47,40087,"mcclain",2010,9.36781811,9.36781811,"MCCLAIN",40087,34725,10.4552151676225,201,0.00578833693304536,0.0761547097762232,19.2248554216706,10.4552151676225,-0.132229353685992,-0.0427123549966031
"48",48,40089,"mccurtain",2010,10.47653465,10.47653465,"MCCURTAIN",40089,33179,10.4096724246525,110,0.00331535007082793,0.0576109400351515,10.5670952468682,10.4096724246525,-0.146548508775284,0.940186809395991
"49",49,40091,"mcintosh",2010,10.09412375,10.09412375,"MCINTOSH",40091,20277,9.91724251776846,153,0.00754549489569463,0.0869744204102844,15.4276755585914,9.91724251776846,-0.266047693097438,0.601171975122282
"50",50,40099,"murray",2010,8.857433712,8.857433712,"MURRAY",40099,13508,9.51103738150546,84,0.00621853716316257,0.0789396614736157,8.83184416490055,9.51103738150546,-0.328742622463169,-0.495178229018124
